,alphas,vxs,Rs,paths,curve
49,0.6780804544707796,-0.07290182124064952,0.5224568028006266,pathfollow_fftg001/N128s035a06727g001v50/x2.npz,9
50,0.6783699591621977,-0.07310182124064953,0.5225551559991106,pathfollow_fftg001/N128s035a06727g001v51/x2.npz,9
51,0.6786656275477998,-0.07330182124064953,0.5226461232982573,pathfollow_fftg001/N128s035a06727g001v52/x2.npz,9
52,0.6789673412390359,-0.07350182124064954,0.5227297587168316,pathfollow_fftg001/N128s035a06727g001v53/x2.npz,9
53,0.6792749704653794,-0.07370182124064954,0.5228061166948273,pathfollow_fftg001/N128s035a06727g001v54/x2.npz,9
54,0.6795883728642375,-0.07390182124064955,0.5228752522377996,pathfollow_fftg001/N128s035a06727g001v55/x2.npz,9
55,0.6799073921599527,-0.07410182124064955,0.5229372211056615,pathfollow_fftg001/N128s035a06727g001v56/x2.npz,9
56,0.6802318567531782,-0.07430182124064956,0.5229920800412171,pathfollow_fftg001/N128s035a06727g001v57/x2.npz,9
57,0.6805615782509556,-0.07450182124064957,0.5230398870325164,pathfollow_fftg001/N128s035a06727g001v58/x2.npz,9
58,0.6808963499791659,-0.07470182124064957,0.5230807016017129,pathfollow_fftg001/N128s035a06727g001v59/x2.npz,9
59,0.6812359455343128,-0.07490182124064958,0.5231145851096185,pathfollow_fftg001/N128s035a06727g001v60/x2.npz,9
60,0.6815801174596989,-0.07510182124064958,0.5231416010620215,pathfollow_fftg001/N128s035a06727g001v61/x2.npz,9
61,0.6819285961474598,-0.07530182124064959,0.523161815396069,pathfollow_fftg001/N128s035a06727g001v62/x2.npz,9
62,0.6822810891221336,-0.0755018212406496,0.5231752967174627,pathfollow_fftg001/N128s035a06727g001v63/x2.npz,9
63,0.6826372808947234,-0.0757018212406496,0.5231821164463478,pathfollow_fftg001/N128s035a06727g001v64/x2.npz,9
64,0.682996833638188,-0.0759018212406496,0.5231823488146918,pathfollow_fftg001/N128s035a06727g001v65/x2.npz,9
65,0.6833593889983951,-0.07610182124064961,0.5231760706375291,pathfollow_fftg001/N128s035a06727g001v66/x2.npz,9
66,0.6837245714184446,-0.07630182124064962,0.5231633607589982,pathfollow_fftg001/N128s035a06727g001v67/x2.npz,9
